steps,currentTime,done,speed,reward,gap,world_position_y,world_position_x,RPM,steerAngle,brakeStatus,accStatus,actualGear,packetId,velocity_x,velocity_y,velocity_z,yaw,roll,angular_velocity_y,angular_velocity_x,LapCount,LapDist,going_backwards,current_action_abs_0,current_action_abs_1,current_action_abs_2,actions_0,actions_1,actions_2,rl_point,out_of_track
4,97.323,0,0.003383548930287361,4.059478177349774e-05,-0.0023068648071621943,1022.5986328125,-938.6304931640625,1342.044677734375,0.0,0.0,0.0,1,13407,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.7865115404129028,-0.06534507125616074,0.0,0.0,0,2892.3176047090965,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,1877,0.0
5,97.365,0,0.0032254615798592567,3.869768403440396e-05,-0.0024352867683094166,1022.5987548828125,-938.6304321289062,1499.6116943359375,-12.779999732971191,0.0,0.23420000076293945,1,13411,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.786342442035675,-0.06550927460193634,0.0,0.0,0,2892.3176047090965,0.0,-0.028412548825144768,-0.5316110551357269,-1.0,-0.213094100356102,0.9758103489875793,-0.9991412162780762,1877,0.0
6,97.404,0,0.00316431000828743,3.796346798301357e-05,-0.002607872305170871,1022.598876953125,-938.6303100585938,1866.389404296875,-26.279998779296875,0.0,0.46670001745224,1,13415,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.7861689329147339,-0.06568106263875961,0.0,0.0,0,2892.3176047090965,0.0,-0.058405667543411255,-0.06660395860671997,-1.0,-0.22494837641716003,0.9687647819519043,-0.9986742734909058,1877,0.0
7,97.443,0,0.003006245009601116,3.6066714144230476e-05,-0.0027362942663180932,1022.5989990234375,-938.6302490234375,2423.217041015625,-36.76499938964844,0.0,0.699999988079071,1,13419,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.7860294580459595,-0.06580103933811188,0.0,0.0,0,2892.3176047090965,0.0,-0.08172948285937309,0.39999768137931824,-1.0,-0.17492860555648804,0.9720867872238159,-0.9985658526420593,1877,0.0
8,97.485,0,0.0028808224014937878,3.456248322838651e-05,-0.002563708729535111,1022.598876953125,-938.63037109375,3210.7900390625,-14.264999389648438,0.0,0.8703999519348145,1,13423,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.7862240076065063,-0.06553773581981659,0.0,0.0,0,2892.3176047090965,0.0,-0.03172288462519646,0.7407989501953125,-1.0,0.3750494718551636,0.7100026607513428,-0.9839130640029907,1877,0.0
9,97.524,0,0.0033710559364408255,4.044475950514058e-05,-0.002346959616955636,1022.5987548828125,-938.6305541992188,4188.576171875,16.3799991607666,0.0,1.0,1,13427,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.7864223122596741,-0.06527499854564667,0.0,0.0,0,2892.3176047090965,0.0,0.0364457331597805,1.0,-1.0,0.5112646222114563,0.8025036454200745,-0.9828830361366272,1877,0.0
10,97.563,0,0.0028499478939920664,3.419317787507449e-05,-0.0021743740800941823,1022.5986328125,-938.6306762695312,5305.36083984375,39.05999755859375,0.0,1.0,1,13431,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.7866128087043762,-0.06503086537122726,0.0,0.0,0,2892.3176047090965,0.0,0.08680500462651253,1.0,-1.0,0.3776945173740387,0.8366187214851379,-0.9889807105064392,1877,0.0
11,97.605,0,0.002537512220442295,3.04449601790749e-05,-0.002043917735986565,1022.5985717773438,-938.6307983398438,6560.79833984375,48.374996185302734,0.0,1.0,1,13435,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.7867422699928284,-0.0648769661784172,0.0,0.0,0,2892.3176047090965,0.0,0.10750389657914639,1.0,-1.0,0.1552416831254959,0.7170977592468262,-0.9917522668838501,1877,0.0
12,97.644,0,0.0024624380748718977,2.9543907646481006e-05,-0.002172339697129998,1022.5986938476562,-938.6307373046875,7724.3095703125,37.16999816894531,0.0,1.0,1,13439,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.7865956425666809,-0.06503669172525406,0.0,0.0,0,2892.3176047090965,0.0,0.0826080683618784,1.0,-1.0,-0.18671870231628418,0.5002326965332031,-0.9845298528671265,1877,0.0
13,97.683,0,0.0029053001198917627,3.485678872713769e-05,-0.0023449252339952415,1022.5988159179688,-938.630615234375,8500.1240234375,15.570000648498535,0.0,0.0,1,13443,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,-0.7864123582839966,-0.06524401158094406,0.0,0.0,0,2892.3176047090965,0.0,0.034639546647667885,1.0,-1.0,-0.35976389050483704,0.4079749584197998,-0.9778960347175598,1877,0.0
