ep_count,ep_steps,total_steps,packages_lost,ep_reward,speed_mean,speed_max,BestLap,LapNo_0
1,1,3,0,5.654107091095602e-05,0.004712552763521671,0.004712552763521671,0.0,0.0
2,1,6,0,4.679722431112119e-05,0.0039046236779540777,0.0039046236779540777,0.0,0.0
3,294,302,0,89.877473070239,30.016084631267447,45.974063873291016,0.0,0.0
4,992,1296,0,434.5446241143303,39.75682199324858,65.430908203125,0.0,0.0
5,111,1409,0,11.970900426749052,10.809990264473772,21.44219398498535,0.0,0.0
6,792,2203,0,353.84313107314864,39.20343287362784,61.11063766479492,0.0,0.0
7,1053,3258,0,487.77931346947037,42.55984918198682,67.44208526611328,0.0,0.0
8,570,3830,0,70.95837126789492,14.767236812360453,30.55478858947754,0.0,0.0
9,567,4399,0,275.5868054578103,44.77631508184735,67.03045654296875,0.0,0.0
10,687,5088,0,369.98839665277706,49.99605837663374,71.23509979248047,0.0,0.0
11,112,5202,0,10.931512331769028,9.000295096323368,14.180877685546875,0.0,0.0
12,79,5283,0,4.696478195906978,5.485290246881556,9.461613655090332,0.0,0.0
