ep_count,ep_steps,total_steps,packages_lost,ep_reward,speed_mean,speed_max,BestLap,LapNo_0
1,1,3,0,5.5788058852529236e-05,0.004649727139621973,0.004649727139621973,0.0,0.0
2,1,6,0,4.952212690559148e-05,0.004132223781198263,0.004132223781198263,0.0,0.0
3,284,292,0,86.0264980088911,30.16945485088771,48.06354904174805,0.0,0.0
4,721,1015,0,431.1855558950985,52.479703665371915,74.07365417480469,0.0,0.0
5,138,1155,0,17.11818610654882,12.502509551732278,20.600404739379883,0.0,0.0
6,720,1877,0,349.4598607961536,42.6757609209741,69.00276947021484,0.0,0.0
7,350,2229,0,115.42038141727012,31.16530601038032,49.7973747253418,0.0,0.0
8,283,2514,0,91.21936133338906,30.594266529849897,47.87446594238281,0.0,0.0
9,612,3128,0,316.20492338534893,45.95902484996352,69.52460479736328,0.0,0.0
10,633,3763,0,339.33914739717875,48.02381067965227,70.56731414794922,0.0,0.0
