alpha,loss/actor,loss/alpha,loss/critic1,loss/critic2,timestep
0.9594034771323209,0.09244981696829228,-0.11057579279498904,2.8730149646997414,2.779302402138717,1000
0.8879494184255606,5.03479753994941,-0.22969718435406714,-1.015017142534256,-3.0816863503456156,2000
0.8262031128406525,11.55166635608671,-0.24969619935750959,-2.387903692722323,-4.794526363849627,3000
0.7736782487630842,18.26145815753945,-0.23707452267408372,-3.6403619709014867,-5.830653002738949,4000
0.7269530493021022,24.813592432022116,-0.20308428575098528,-4.733838398933404,-6.834382675647743,5000
0.688067133545876,31.17449875640866,-0.14153710724925633,-5.547107251644141,-7.323736511707311,6000
0.6581806295514107,37.4144998931885,-0.08922681151796119,-5.452302754402166,-7.083324305057526,7000
0.6398360865116105,43.14811779403696,-0.024733534273225746,-5.236516947269463,-6.863636572837832,8000
0.6401001780033108,48.74220542144774,0.01550730831967664,-4.754534185409542,-6.2816562862396355,9000
0.6531440627574933,54.01321546554566,0.0331896821004338,-4.485173785686481,-5.494339509010319,10000
0.6785395179390902,58.69903327560424,0.03831326339696539,-4.290071622848505,-5.279517653465266,11000
0.7074090659618392,63.565619411468475,0.03319493381329821,-4.17235417938233,-5.039784728527065,12000
0.7330530346631998,68.33982254409796,0.022956577864009866,-4.32557291841507,-5.188065729141229,13000
0.7582924442887305,72.94160498809822,0.01990315072145308,-4.1126891312599305,-4.819130757808681,14000
0.7873860483765612,77.46799849700949,0.018683363538002595,-3.7129043946266154,-4.573579707145687,15000
0.815992085278034,82.12055608367923,0.018061700747348357,-3.717584620475764,-4.497437408447273,16000
0.849918197631837,86.68946205139164,0.013617774283164191,-3.4937551341056783,-4.501234080314641,17000
0.8838198527097693,91.28129335784934,0.009421587980526964,-3.4535785360336275,-4.246763155937183,18000
0.9146084368824965,95.77562385559096,0.006469304341881063,-3.339134301662445,-4.227618535995478,19000
0.9400226757526411,99.93657482910152,0.003477256198180839,-3.21082594919204,-4.040690375328059,20000
0.9632144378423678,103.99953246307362,0.00213911310367985,-3.152591140270238,-3.9247260789871232,21000
0.9872418984174722,107.8613238906861,0.0007070103051437403,-3.5263053536415088,-4.231446711540222,22000
1.0146435556411726,111.65259955596925,-0.0006047489424108802,-3.1666569547653185,-4.115858385086073,23000
1.0353488023281106,115.32844991302497,-0.0013773220169823609,-3.4372896366119425,-4.379579701423651,24000
1.0562615749835949,118.9391443862916,-0.002249595126428177,-3.358191830635072,-4.435316501617436,25000
1.0750217092037193,122.60125796508787,-0.0022089578325394585,-3.5512273473739633,-4.6435190763473475,26000
1.091584226965908,126.19287857055653,-0.003129234161402562,-3.519258899688722,-4.616541289329534,27000
1.1106415133476284,129.82336711120627,-0.0037050567822298035,-3.607453342437743,-4.524558208465572,28000
1.1314611659049982,133.37875563812256,-0.004662234768620698,-3.4845015478134163,-4.536695146560679,29000
1.156586827039719,136.84832061767557,-0.005498273893026623,-3.6751948328018225,-4.7197257394790695,30000
1.1708938882350917,140.3191630096436,-0.004029515041620474,-3.4716456432342557,-4.4613310194015545,31000
1.1881022945642483,143.9249130401607,-0.00552431092737243,-3.3880188570022605,-4.467900951385498,32000
1.2025809568166714,147.58827528381312,-0.002685967066092419,-3.0989303407669033,-3.9147485828399646,33000
1.2191040995121003,150.70968759155306,-0.005703536641201932,-2.900077576637268,-4.061750999450679,34000
