adv_dynamics_update/adv_advantage,adv_dynamics_update/adv_log_prob,adv_dynamics_update/adv_loss,adv_dynamics_update/all_loss,adv_dynamics_update/sl_loss,alpha,loss/actor,loss/alpha,loss/critic1,loss/critic2,rollout_info/num_transitions,rollout_info/reward_mean,timestep
-5.213078111410141e-10,317.3469844169617,28.555645043730735,-44.4160346224308,-44.42460135960579,0.9623367567658434,-4.425816263437268,-0.19290478614456552,4.351589033484476,4.354448448121549,122118.5,0.6707712539479861,1000
4.246830940246582e-10,379.219938079834,14.686466464281082,-56.119242265701295,-56.12364822006226,0.8719793490767482,-11.14006549835204,-0.6612700747549533,2.6174138869047114,2.5602581735849403,122197.0,0.6695115464936484,2000
-4.0838494896888733e-10,389.83834912109376,8.139251158595085,-56.62034836578369,-56.62279011917114,0.7907354437708847,-15.633254272460906,-1.1014445215463617,2.1558938462734187,2.09793118983507,122577.5,0.6695735263375368,3000
3.725290298461914e-11,379.81112896728513,3.7668642278909683,-56.8136216583252,-56.814751667022705,0.7175855770111064,-20.664660636901854,-1.4816296061277396,1.7124552369117736,1.699989255309104,122013.25,0.6662584527440012,4000
3.5529956221580506e-10,391.3873984375,7.856824188709259,-56.846641813755035,-56.84899884366989,0.6517426479458798,-25.891395299911515,-1.8844338333606727,2.0414616569280586,2.047149211764338,122421.75,0.6668227238025208,5000
2.966262400150299e-10,394.9410862426758,14.717439462900161,-56.88443419647217,-56.88884943008423,0.5899310318827629,-29.177800554275528,-2.3656511659622197,2.3087104822397224,2.3008105005025894,121796.25,0.6669520575320472,6000
-6.884802132844925e-10,397.08989959716797,6.753425492703915,-57.22196180343628,-57.22398785400391,0.5337670017480858,-31.859219345092775,-2.7981726484298695,2.6478849393725308,2.6549307395815878,122358.0,0.6706881248800582,7000
-3.0850060284137725e-10,399.61580401611326,6.46116197001934,-56.85916987907886,-56.86110816800594,0.48342136275768316,-34.559090986251846,-3.1732513129711153,3.1945169614553377,3.1943859451413195,122527.25,0.6702752619561537,8000
1.871958374977112e-10,404.02001260375977,3.9426595845222474,-57.736280242919925,-57.7374630241394,0.43813654357194903,-36.39100567054749,-3.5409176199436234,3.7744997541904457,3.7773566709756827,122214.75,0.6705473929626198,9000
3.539025783538818e-11,406.4182296447754,4.3433987854719165,-58.0476830406189,-58.04898608779907,0.39711133825778955,-38.20661981391917,-3.881410083770753,4.301077386021604,4.299192824363712,122309.75,0.671776650592574,10000
1.9883736968040466e-10,410.0816181640625,3.184745141029358,-58.24916083526611,-58.25011622619629,0.3599094797968863,-39.53884198760996,-4.238318866252901,4.5907150787114945,4.605451079607,122519.0,0.672218274479617,11000
3.1315721571445464e-10,413.37499429321286,4.851003158807755,-58.49862320709229,-58.50007850646973,0.3262737958431243,-40.32635001373291,-4.547945031166074,5.154326296210281,5.172723623871793,122134.5,0.6704279703040064,12000
2.7008354663848878e-11,415.32712109375,1.561261702299118,-58.683549964904785,-58.68401833724975,0.29592532247304926,-40.90092705917348,-4.776963652133953,5.8061861089468,5.788362846732149,122011.75,0.6721985615788652,13000
1.4901161193847657e-11,416.852133605957,-0.9376536555290222,-58.98318525695801,-58.98290395736694,0.26860214394330956,-41.67485587692257,-4.965489214420319,6.199782582521445,6.20731423592567,122304.75,0.6727515018881909,14000
-7.12461769580841e-11,421.7602915344238,4.512882442951202,-59.00888678741455,-59.010240631103514,0.2439788279831414,-42.2682957878113,-5.112500366210929,6.682869885444647,6.69430096495152,122117.0,0.6716549161745622,15000
-2.9848888516426087e-10,422.96972760009766,-0.4307481870651245,-59.364656677246096,-59.36452744293213,0.22161838571727324,-42.64209813308708,-5.2743084340095585,7.24555717468263,7.284190057754521,122219.5,0.6717807275884549,16000
4.44706529378891e-11,409.458541595459,7.999202718257904,-57.081698906898495,-57.08409862232208,0.20140961909294106,-42.56224533843982,-5.290173970222467,7.7706532504558545,7.8082377004623424,122233.75,0.6724434504908683,17000
-1.885928213596344e-11,412.74387863159177,-4.217663418292999,-58.150501415252684,-58.14923617553711,0.18316163881123043,-42.656405826568665,-5.343933035373688,8.56450648403167,8.614776896953572,122293.0,0.6678224662744785,18000
-7.450580596923828e-12,431.2960606689453,0.7592318249940873,-59.37018410873413,-59.37041184997559,0.1666574822366236,-42.212101928710844,-5.279729565620428,9.522017369270326,9.566534119367594,121999.25,0.6708119574217193,19000
1.4784745872020722e-11,437.61806271362303,-3.285767616868019,-59.780847675323486,-59.779861919403075,0.151878191500902,-41.796806026458796,-5.070549646854413,9.732920866012586,9.82711747550964,122306.25,0.67253276646736,20000
-1.1199153959751129e-10,440.46552752685545,-1.0428749190568924,-59.98552704238892,-59.985214111328126,0.13854029187560063,-41.07394595336927,-4.912804959297178,10.792425462484344,10.866321076631579,122504.0,0.672976652269537,21000
-6.542541086673737e-11,442.7205209350586,0.3307642738819122,-60.311049770355226,-60.311149005889895,0.1264988105297092,-40.09241232299796,-4.698515949487692,12.465015742778784,12.579983717203165,122248.5,0.6734252403423213,22000
1.1012889444828033e-10,446.11558755493166,-1.4523780378103257,-60.35992059326172,-60.35948484802246,0.11566239131242041,-39.17466594314571,-4.306789280652996,12.914403234005007,12.95068465709686,122482.75,0.673692769506015,23000
-6.565824151039123e-11,445.5811506652832,-4.0872917497158054,-60.61518305206299,-60.6139568901062,0.10583250096440323,-38.38879571151739,-4.10680346679686,13.825798115730295,13.848519262313832,122465.5,0.6727583043703381,24000
