ep_count,ep_steps,total_steps,packages_lost,ep_reward,speed_mean,speed_max,BestLap,LapNo_0
1,1,3,0,-0.9259821585298195,38.07876968383789,38.07876968383789,0.0,0.0
2,1,6,0,0.012818554401604947,1.077056884765625,1.077056884765625,0.0,0.0
3,860,868,0,459.3179602934773,47.32921709783164,73.70490264892578,0.0,0.0
4,209,1079,0,47.31825578532673,20.62854249866648,35.36654281616211,0.0,0.0
5,151,1232,0,20.095336501284166,12.857147878671176,26.200925827026367,0.0,0.0
6,106,1340,0,11.936180471841299,12.094204857134242,22.600875854492188,0.0,0.0
7,806,2148,0,337.4305297188861,38.319773556140575,57.85919189453125,0.0,0.0
8,590,2740,0,216.48334139312902,33.02706277310696,47.80483627319336,0.0,0.0
9,581,3323,0,303.2076028027969,46.40194178968043,68.2575454711914,0.0,0.0
10,616,3941,0,308.71375098325314,45.02656578577831,68.5948257446289,0.0,0.0
