ep_count,ep_steps,total_steps,packages_lost,ep_reward,speed_mean,speed_max,BestLap,LapNo_0,LapNo_1
1,1,3,0,5.505484805498408e-05,0.004588365089148283,0.004588365089148283,0.0,0.0,
2,1,6,0,4.0430960512283504e-05,0.003372774925082922,0.003372774925082922,0.0,0.0,
3,316,324,0,97.77950878422266,30.397349674466856,46.58266830444336,0.0,0.0,
4,3173,3499,0,1696.6610615049265,46.37371980417209,71.977294921875,0.0,0.0,
5,1857,5358,0,964.2087909993995,44.96077138189827,72.19396209716797,0.0,0.0,
6,1282,6642,0,703.0460259453339,48.15925838150318,70.21617889404297,0.0,0.0,
7,5988,12632,0,3344.402170282598,48.22783734960432,73.61753845214844,115.352,0.0,115.352
