ep_count,ep_steps,total_steps,packages_lost,ep_reward,speed_mean,speed_max,BestLap,LapNo_0
1,1,3,0,0.061825663588092064,5.155874729156494,5.155874729156494,0.0,0.0
2,1,6,0,2.990452352948299e-05,0.0024935887195169926,0.0024935887195169926,0.0,0.0
3,143,151,0,17.62271262240546,13.37826139900436,23.627788543701172,0.0,0.0
4,68,221,0,5.209680061352079,6.901994703549837,14.816743850708008,0.0,0.0
5,88,311,0,9.525393583581486,9.463722011180256,17.995407104492188,0.0,0.0
6,79,392,0,7.332507434395971,8.212733949917734,15.903660774230957,0.0,0.0
7,78,472,0,7.1803753695901165,8.408053716883446,18.348201751708984,0.0,0.0
8,89,563,0,9.87880970063321,9.682357298487567,18.452503204345703,0.0,0.0
9,83,648,0,8.034078022144945,8.536129237301312,15.970322608947754,0.0,0.0
10,85,735,0,8.448442223133958,8.741043413696152,16.093673706054688,0.0,0.0
11,68,805,0,5.262099031013565,7.00920340350336,15.999186515808105,0.0,0.0
12,248,1055,0,0.0011002847286953337,0.0004716008419739909,0.003605231177061796,0.0,0.0
13,856,1913,0,455.16762181089075,46.35615500016247,74.04666900634766,0.0,0.0
14,129,2044,0,19.208347892023365,13.496527133567273,23.386707305908203,0.0,0.0
15,83,2129,0,7.4788306366294535,7.917598135920848,15.675766944885254,0.0,0.0
