steps,currentTime,done,speed,reward,gap,world_position_y,world_position_x,RPM,steerAngle,brakeStatus,accStatus,actualGear,packetId,velocity_x,velocity_y,velocity_z,yaw,roll,angular_velocity_y,angular_velocity_x,LapCount,LapDist,going_backwards,current_action_abs_0,current_action_abs_1,current_action_abs_2,actions_0,actions_1,actions_2,rl_point,out_of_track
4,24.531,0,0.004859340377151966,5.823582199230415e-05,-0.015694009392305964,-97.50308227539062,-517.5628662109375,1365.183349609375,0.0,0.0,0.0,1,5127,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.7654876708984375,-0.00117116782348603,0.0,0.0,0,949.9736990262318,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,607,0.0
5,24.57,0,0.004881378263235092,5.8499004383961534e-05,-0.015883787462965666,-97.50313568115234,-517.5630493164062,1484.0450439453125,-43.46999740600586,0.0,0.2113499939441681,1,5131,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.765707015991211,-0.0014479486271739006,0.0,0.0,0,949.9722402438128,0.0,-0.09667377918958664,-0.5773707330226898,-1.0,-0.7250533103942871,0.8804776668548584,-0.9995352029800415,607,0.0
6,24.609,0,0.004372893832623959,5.240440754269937e-05,-0.01608052961714519,-97.50322723388672,-517.563232421875,1809.2320556640625,-68.39999389648438,0.0,0.4263499975204468,1,5135,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.7658799886703491,-0.0016939814668148756,0.0,0.0,0,949.9722402438128,0.0,-0.15198233351111412,-0.14730840921401978,-1.0,-0.41481414437294006,0.895963191986084,-0.9995859265327454,607,0.0
7,24.651,0,0.004447960294783115,5.330454420984124e-05,-0.01595772508117963,-97.50321197509766,-517.5631103515625,2366.10888671875,-63.67499923706055,0.0,0.6444500088691711,1,5139,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.7658193111419678,-0.0016411105170845985,0.0,0.0,0,949.9722402438128,0.0,-0.14149762131273746,0.28900042176246643,-1.0,0.0786353349685669,0.9089767336845398,-0.999741792678833,607,0.0
8,24.69,0,0.0040835789404809475,4.893855194174791e-05,-0.01576933982715683,-97.50316619873047,-517.5629272460938,3070.986083984375,-32.93999481201172,0.0,0.8776500225067139,1,5143,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.7656394243240356,-0.0014251060783863068,0.0,0.0,0,949.9722402438128,0.0,-0.07328874059021473,0.7553139626979828,-1.0,0.5115665793418884,0.9714865684509277,-0.9996877908706665,607,0.0
9,24.729,0,0.003732243087142706,4.4728744342394344e-05,-0.015586525839790803,-97.5031509399414,-517.562744140625,4021.52197265625,-3.6450002193450928,0.0,1.0,1,5147,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.7654296159744263,-0.0012190000852569938,0.0,0.0,0,949.9722402438128,0.0,-0.008120158687233925,1.0,-1.0,0.48876434564590454,0.9366416931152344,-0.998688817024231,607,0.0
10,24.771,0,0.003756911726668477,4.5024608968527455e-05,-0.015526516388502108,-97.5031509399414,-517.5626831054688,5212.65185546875,-1.4399999380111694,0.0,1.0,1,5151,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.7654060125350952,-0.0012071405071765184,0.0,0.0,0,949.9722402438128,0.0,-0.003257955890148878,1.0,-1.0,0.03646652027964592,0.9404111504554749,-0.997188150882721,607,0.0
11,24.81,0,0.0036444368306547403,4.367597000152075e-05,-0.01571490164252491,-97.5031967163086,-517.5628662109375,6373.5263671875,-12.600000381469727,0.0,1.0,1,5155,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.7655526399612427,-0.0014019777299836278,0.0,0.0,0,949.9722402438128,0.0,-0.02801996050402522,1.0,-1.0,-0.18571501970291138,0.6922959089279175,-0.9968165159225464,607,0.0
12,24.849,0,0.0034441635943949223,4.127539149625747e-05,-0.015844670262007695,-97.50325012207031,-517.56298828125,7542.220703125,-26.639999389648438,0.0,1.0,1,5159,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.7657350301742554,-0.001625348231755197,0.0,0.0,0,949.9722402438128,0.0,-0.059214412700384855,1.0,-1.0,-0.2339583784341812,0.2636766731739044,-0.9976633787155151,607,0.0
13,24.891,0,0.003338720416650176,4.001153442047199e-05,-0.01590746534668196,-97.50326538085938,-517.5630493164062,8498.716796875,-28.394996643066406,0.0,0.0,1,5163,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,1.7657592296600342,-0.001658397144638002,0.0,0.0,0,949.9722402438128,0.0,-0.06316463043913245,0.9549024477601051,-1.0,-0.02962663024663925,-0.09395323693752289,-0.9984532594680786,607,0.0
