steps,currentTime,done,speed,reward,gap,world_position_y,world_position_x,RPM,steerAngle,brakeStatus,accStatus,actualGear,packetId,velocity_x,velocity_y,velocity_z,yaw,roll,angular_velocity_y,angular_velocity_x,LapCount,LapDist,going_backwards,current_action_abs_0,current_action_abs_1,current_action_abs_2,actions_0,actions_1,actions_2,rl_point,out_of_track
4,29.163,0,0.003861395874992013,4.63100815408906e-05,-0.006906559150352699,-130.3311767578125,-419.5552673339844,1342.044677734375,0.0,0.0,0.0,1,7119,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,3.067596435546875,0.001539068529382348,0.0,-0.0,0,837.1501795858421,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,533,0.0
5,29.202,0,0.004741184879094362,5.6862278380817786e-05,-0.006736748118683804,-130.3310089111328,-419.55523681640625,1481.3284912109375,23.30999755859375,0.0,0.2395000159740448,1,7123,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,3.067403793334961,0.0018385661533102393,0.0,-0.0,0,837.1501795858421,0.0,0.05186037719249725,-0.5210418701171875,-1.0,0.3889528214931488,0.9978294372558594,-1.0,533,0.0
6,29.244,0,0.003544617909938097,4.251219153350728e-05,-0.006551731763464303,-130.33082580566406,-419.5552062988281,1872.405029296875,45.314998626708984,0.0,0.47859999537467957,1,7127,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,3.0672054290771484,0.0021232597064226866,0.0,-0.0,0,837.1501795858421,0.0,0.10071772336959839,-0.04279258847236633,-1.0,0.3664300739765167,0.9963526725769043,-0.9999999403953552,533,0.0
7,29.283,0,0.003374558174982667,4.0473161937014434e-05,-0.006381920731795408,-130.33065795898438,-419.55517578125,2438.426025390625,60.43499755859375,0.0,0.7174999713897705,1,7131,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,3.067025899887085,0.002384090330451727,0.0,-0.0,0,837.1501795858421,0.0,0.13439123332500458,0.43502238392829895,-1.0,0.2525513172149658,0.9954478740692139,-0.9999997019767761,533,0.0
8,29.322,0,0.0033766392152756453,4.049875449175506e-05,-0.006194351904124105,-130.33047485351562,-419.55511474609375,3232.449951171875,96.74999237060547,0.0,0.9571999907493591,1,7135,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,3.066807270050049,0.0026648070197552443,0.0,-0.0,0,837.1501795858421,0.0,0.2149709016084671,0.9144114255905151,-1.0,0.6043474674224854,0.9987272024154663,-0.9999986290931702,533,0.0
9,29.364,0,0.0033855231013149023,4.060593247145444e-05,-0.006009335548909357,-130.33029174804688,-419.5550842285156,4303.6728515625,120.68999481201172,0.0,1.0,1,7139,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,3.066619634628296,0.0029204576276242733,0.0,-0.0,0,837.1501795858421,0.0,0.2682521119713783,1.0,-1.0,0.3996090590953827,0.9859591722488403,-0.999985933303833,533,0.0
10,29.403,0,0.0030469163320958614,3.6544647490342593e-05,-0.00602198840003173,-130.33030700683594,-419.5550537109375,5426.91650390625,119.65499114990234,0.0,1.0,1,7143,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,3.066622495651245,0.0029281028546392918,0.0,-0.0,0,837.1501795858421,0.0,0.26593666546978056,1.0,-1.0,-0.017365848645567894,0.9365485906600952,-0.9999330043792725,533,0.0
11,29.442,0,0.002859131433069706,3.4291830554435436e-05,-0.006207004755279554,-130.3304901123047,-419.5550842285156,6596.16650390625,99.4949951171875,0.0,1.0,1,7147,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,3.0668060779571533,0.0027270393911749125,0.0,-0.0,0,837.1501795858421,0.0,0.22114810370840132,1.0,-1.0,-0.3359141945838928,0.9284005165100098,-0.9999004006385803,533,0.0
12,29.484,0,0.00279818894341588,3.356033869082477e-05,-0.006407226434073228,-130.3306884765625,-419.55511474609375,7845.81298828125,71.23500061035156,0.0,1.0,1,7151,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,3.06699538230896,0.002520936308428645,0.0,-0.0,0,837.1501795858421,0.0,0.1582865344826132,1.0,-1.0,-0.4714617431163788,0.8475163578987122,-0.9999201893806458,533,0.0
13,29.523,0,0.002600240521132946,3.118571193631322e-05,-0.0066048956404434235,-130.3308868408203,-419.55511474609375,8410.1875,30.28499984741211,0.0,0.0,1,7155,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,3.0672049522399902,0.0023079297970980406,0.0,-0.0,0,837.1501795858421,0.0,0.06727607571519911,1.0,-1.0,-0.6825783848762512,0.8136959671974182,-0.9999629855155945,533,0.0
14,29.562,0,0.0024953060783445835,2.9926698458724415e-05,-0.006802564846813619,-130.33108520507812,-419.55511474609375,8143.091796875,-8.010000228881836,0.0,0.0,1,7159,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,3.0674049854278564,0.00209900108166039,0.0,-0.0,0,837.1501795858421,0.0,-0.017779059475287795,1.0,-1.0,-0.6379134654998779,0.7904692888259888,-0.9999997019767761,533,0.0
15,29.604,0,0.00240960787050426,2.88984266269812e-05,-0.007000234053183813,-130.33128356933594,-419.55511474609375,7868.07958984375,-22.67999839782715,0.0,0.0,1,7163,1.0000000031710769e-30,1.0000000031710769e-30,1.0000000031710769e-30,3.0675833225250244,0.0019136436749249697,0.0,-0.0,0,837.1501795858421,0.0,-0.050385713344439864,1.0,-1.0,-0.24454988539218903,0.9803148508071899,-0.9999999403953552,533,0.0
16,29.643,0,0.19695444405078888,0.0023620837864307457,-0.006953598764025464,-130.33102416992188,-419.5576477050781,5106.16796875,-12.420000076293945,0.0,0.0,2,7167,-0.017721116542816162,0.021440917626023293,-0.19498026371002197,3.067415952682495,0.0020530903711915016,0.015557345002889633,-0.055548034608364105,0,837.15309715068,0.0,-0.027683349093422294,1.0,-1.0,0.170267716050148,0.998092532157898,-0.9999998807907104,533,0.0
17,29.682,0,0.4899801015853882,0.005875952755749699,-0.0077726896717568465,-130.33070373535156,-419.5712585449219,4310.6650390625,-49.31999969482422,0.0,0.0,2,7171,0.01767456904053688,0.02355678752064705,-0.48909425735473633,3.0679500102996826,0.0017228634096682072,0.02080601081252098,-0.09210997819900513,0,837.1677707855997,0.0,-0.10957355215214193,1.0,-1.0,-0.6141765117645264,0.999846339225769,-0.9999994039535522,533,0.0
18,29.724,0,0.8360884189605713,0.010025585224979882,-0.0089414018630565,-130.32968139648438,-419.597412109375,3922.592041015625,-103.45498657226562,0.0,1.0,2,7175,-0.01914740540087223,0.002291014650836587,-0.8358659744262695,3.06907320022583,0.0010458581382408738,0.059528812766075134,-0.0708429217338562,0,837.1957450837508,0.0,-0.22988921566866338,1.0,-1.0,-0.9023674130439758,0.9998295903205872,-0.9999960064888,533,0.0
19,29.763,0,1.1755638122558594,0.014093613897141815,-0.01118769546270729,-130.32859802246094,-419.6371765136719,3897.5087890625,-153.58499145507812,0.0,1.0,2,7179,0.02656681276857853,-0.014965057373046875,-1.1751682758331299,3.0708250999450684,0.0006172233843244612,0.05501371994614601,-0.034636203199625015,0,837.2339308588344,0.0,-0.34132976992987096,1.0,-1.0,-0.8358041048049927,0.9996201395988464,-0.9993521571159363,533,0.0
