ep_count,ep_steps,total_steps,packages_lost,ep_reward,speed_mean,speed_max,BestLap,LapNo_0
1,1,3,0,0.06014957478316566,5.037449359893799,5.037449359893799,0.0,0.0
2,1,6,0,4.745359417491887e-05,0.003954882733523846,0.003954882733523846,0.0,0.0
3,88,96,0,7.7165106926530544,7.711981928653338,15.820423126220703,0.0,0.0
4,88,186,0,8.225635535879581,8.266111859985607,16.1590518951416,0.0,0.0
5,83,271,0,7.569183592507596,7.977587626980483,16.17882537841797,0.0,0.0
6,172,445,0,33.9038377092329,17.756069600720195,34.44906234741211,0.0,0.0
7,136,583,0,21.070705311644154,14.502677989170051,26.568265914916992,0.0,0.0
8,182,767,0,22.917525967269786,12.813664581299156,24.919862747192383,0.0,0.0
9,709,1478,0,331.06792867611694,42.14242367224166,57.76824951171875,0.0,0.0
10,607,2087,0,230.81989332096072,33.89128229026456,49.26860427856445,0.0,0.0
11,560,2649,0,290.7631789059835,45.97491319306386,68.55451202392578,0.0,0.0
12,294,2945,0,68.19882484235956,22.88624798724678,42.39591598510742,0.0,0.0
13,559,3506,0,274.772635217594,43.99570538658126,67.82476043701172,0.0,0.0
14,679,4187,0,394.95368393342835,50.70349079501384,72.6557388305664,0.0,0.0
